dict_items([('node', 'sta1-wlan0'), ('timestamp', 'Sun Nov 21 17:46:28 2021'), ('position', (14.93, 54.13, 0.0)), ('rssi', -71.0)])
dict_items([('node', 'sta1-wlan0'), ('timestamp', 'Sun Nov 21 17:46:29 2021'), ('position', (16.34, 55.32, 0.0)), ('rssi', -72.0)])
dict_items([('node', 'sta1-wlan0'), ('timestamp', 'Sun Nov 21 17:46:30 2021'), ('position', (17.75, 56.51, 0.0)), ('rssi', -73.0)])
dict_items([('node', 'sta1-wlan0'), ('timestamp', 'Sun Nov 21 17:46:31 2021'), ('position', (19.15, 57.69, 0.0)), ('rssi', -73.0)])
dict_items([('node', 'sta1-wlan0'), ('timestamp', 'Sun Nov 21 17:46:32 2021'), ('position', (20.56, 58.88, 0.0)), ('rssi', -74.0)])
dict_items([('node', 'sta1-wlan0'), ('timestamp', 'Sun Nov 21 17:46:33 2021'), ('position', (21.97, 60.06, 0.0)), ('rssi', -75.0)])
dict_items([('node', 'sta1-wlan0'), ('timestamp', 'Sun Nov 21 17:46:34 2021'), ('position', (23.37, 61.25, 0.0)), ('rssi', -76.0)])
dict_items([('node', 'sta1-wlan0'), ('timestamp', 'Sun Nov 21 17:46:35 2021'), ('position', (24.78, 62.43, 0.0)), ('rssi', -77.0)])
dict_items([('node', 'sta1-wlan0'), ('timestamp', 'Sun Nov 21 17:46:36 2021'), ('position', (26.18, 63.62, 0.0)), ('rssi', -77.0)])
dict_items([('node', 'sta1-wlan0'), ('timestamp', 'Sun Nov 21 17:46:37 2021'), ('position', (27.59, 64.8, 0.0)), ('rssi', -78.0)])
dict_items([('node', 'sta1-wlan0'), ('timestamp', 'Sun Nov 21 17:46:38 2021'), ('position', (29.0, 65.99, 0.0)), ('rssi', -79.0)])
dict_items([('node', 'sta1-wlan0'), ('timestamp', 'Sun Nov 21 17:46:39 2021'), ('position', (29.6, 67.18, 0.0)), ('rssi', -80.0)])
dict_items([('node', 'sta1-wlan0'), ('timestamp', 'Sun Nov 21 17:46:40 2021'), ('position', (28.19, 68.36, 0.0)), ('rssi', -80.0)])
