dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:32 2021'), ('position', (24.26, 27.62, 0.0)), ('rssi', -55.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:33 2021'), ('position', (23.29, 27.03, 0.0)), ('rssi', -53.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:34 2021'), ('position', (22.31, 26.45, 0.0)), ('rssi', -52.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:35 2021'), ('position', (21.33, 25.87, 0.0)), ('rssi', -51.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:36 2021'), ('position', (20.36, 25.28, 0.0)), ('rssi', -50.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:37 2021'), ('position', (19.38, 25.3, 0.0)), ('rssi', -48.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:38 2021'), ('position', (18.4, 25.88, 0.0)), ('rssi', -45.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:39 2021'), ('position', (17.43, 26.47, 0.0)), ('rssi', -41.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:40 2021'), ('position', (16.45, 27.05, 0.0)), ('rssi', -36.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:41 2021'), ('position', (15.47, 27.63, 0.0)), ('rssi', -31.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:42 2021'), ('position', (14.5, 28.22, 0.0)), ('rssi', -26.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:43 2021'), ('position', (13.52, 28.8, 0.0)), ('rssi', -27.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:44 2021'), ('position', (12.54, 29.38, 0.0)), ('rssi', -32.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:45 2021'), ('position', (11.57, 29.97, 0.0)), ('rssi', -37.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:46 2021'), ('position', (10.59, 30.55, 0.0)), ('rssi', -41.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:47 2021'), ('position', (9.61, 31.13, 0.0)), ('rssi', -45.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:48 2021'), ('position', (8.64, 31.72, 0.0)), ('rssi', -48.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:49 2021'), ('position', (7.66, 32.3, 0.0)), ('rssi', -51.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:50 2021'), ('position', (6.68, 32.88, 0.0)), ('rssi', -53.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:51 2021'), ('position', (5.71, 33.47, 0.0)), ('rssi', -55.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:52 2021'), ('position', (4.73, 34.05, 0.0)), ('rssi', -57.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:53 2021'), ('position', (3.75, 34.63, 0.0)), ('rssi', -59.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:54 2021'), ('position', (2.78, 35.22, 0.0)), ('rssi', -60.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:55 2021'), ('position', (1.8, 35.8, 0.0)), ('rssi', -62.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:56 2021'), ('position', (0.82, 36.38, 0.0)), ('rssi', -63.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:57 2021'), ('position', (0.15, 36.97, 0.0)), ('rssi', -64.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:58 2021'), ('position', (1.13, 37.55, 0.0)), ('rssi', -63.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:50:59 2021'), ('position', (2.11, 38.14, 0.0)), ('rssi', -63.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:00 2021'), ('position', (3.08, 38.72, 0.0)), ('rssi', -62.0)])
